,global_id,ID,SculpName,Latitude_WGS84,Author,ManufactYear,Material,Description,LocationPlace,Longitude_WGS84,Photo,geoData
629,1059235409,654,Женский бюст («Прозерпина»),55.737053,['Неизвестный скульптор'],,Мрамор,"Поясное изображение молодой женщины. Плечи прямо, голова в повороте влево. В волосах веточка с плодом. Через правое плечо поверх легкой одежды наброшена драпировка, поддерживаемая узкой перевязью.","ГБУК г. Москвы «Музей-усадьба «Кусково», партер, западная сторона",37.808493,b7440067-e836-476c-94e5-5c9a93fe6047,"{'type': 'Point', 'coordinates': [37.808493, 55.737053]}"
630,1059235546,655,Женский бюст «Эвридика»,55.737162,['Неизвестный скульптор Италия'],,Мрамор,"Поясное изображение молодой женщины. Плечи прямо, голова в легком повороте вправо. Волосы поддерживаются лентой. На темени небольшая коронка из волос. Через правое плечо наброшена драпировка, оставляющая обнаженными левое плечо и левую грудь.","ГБУК г. Москвы «Музей-усадьба «Кусково», партер, западная сторона",37.8086,8bdd2aeb-c4ae-48d6-b51a-eac9d4a984d4,"{'type': 'Point', 'coordinates': [37.8086, 55.737162]}"
631,1059235703,656,Бюст женский «Полночь»,55.736683,['Неизвестный скульптор Италия'],,Мрамор,"Поясное изображение молодой женщины - плечи прямо, голова в легком повороте вправо. На лбу небольшой кокошник (изображение полумесяца?). Через левое плечо наброшена драпировка, оставляющая открытыми правое плечо и правую грудь.","ГБУК г. Москвы «Музей-усадьба «Кусково», партер, восточная сторона",37.809622,937b91fe-efdb-42ac-ac5b-f5c35c6b6e7d,"{'type': 'Point', 'coordinates': [37.809622, 55.736683]}"
632,1059235831,657,Бюст мужчины в лавровом венке (Цезарь),55.737118,['Неизвестный скульптор Италия'],,Мрамор,"Погрудное изображение мужчины в военной одежде, с лавровым венком на голове. Плечи прямо, голова в легком повороте вправо. На плечи накинута драпировка, открывающая левую сторону груди.","ГБУК г. Москвы «Музей-усадьба «Кусково», партер, восточная сторона",37.810054,4a00915e-52f8-46aa-bb81-1e2c5ad270b3,"{'type': 'Point', 'coordinates': [37.810054, 55.737118]}"
633,1059239082,658,Бюст мужской (Цицерон),55.735777,['Неизвестный скульптор Италия'],,Мрамор,"Поясное изображение юноши. Плечи прямо, голова в легком повороте влево. Драпировка, поддерживаемая узкой перевязью, открывает правую сторону груди.","ГБУК г. Москвы «Музей-усадьба «Кусково», партер, восточная сторона",37.808541,abe0c71f-c654-4e28-9d97-654223fe7687,"{'type': 'Point', 'coordinates': [37.808541, 55.735777]}"
634,1059240295,659,Бюст мужской,55.737495,['Неизвестный скульптор Италия'],,Мрамор,"Бюст юноши в кафтане с мелкими пуговицами в шапочке. Из-под шапочки на лоб выбиваются пряди волос. Плечи прямо, голова слегка приподнята и повернута влево. Поверх кафтана наброшен плащ, оставляющий открытым правую сторону груди.","ГБУК г. Москвы «Музей-усадьба «Кусково», партер, западная сторона",37.808906,ffde3f9a-55d9-4ef8-b842-d20b1b24cc7a,"{'type': 'Point', 'coordinates': [37.808906, 55.737495]}"
635,1059240382,660,Бюст «Алкивиад»,55.736796,['Неизвестный скульптор Италия'],,Мрамор,"Поясное изображение кудрявого юноши, одетого в панцирь и плащ. Плащ перевязан ниже груди.","ГБУК г. Москвы «Музей-усадьба «Кусково», партер, восточная сторона",37.809737,ea062df2-46ef-4bfa-b490-4ca472b13d61,"{'type': 'Point', 'coordinates': [37.809737, 55.736796]}"
636,1059370456,661,Памятник В.И.Ленину,55.691977,['архитектор М Д Быковский и скульптор А Кампиони'],,Гранит,"Представляет собой скульптуру В.И.Ленина в полный рост. Правая рука в кармане пиджака, левая – свободно опущена. Памятник установлен в 1992 г. на месте более ранней скульптуры В.И.Ленина 1920-х гг. Статуя установлена на постамент из красного гранита. Постамент памятника относится к другому памятнику первой середины XIX в., находившемуся на Николаевском острове Верхнего пруда усадьбы «Кузьминки». Изначально в 1856 г. на данном постаменте князем С. М. Голицыным был установлен монумент императору Николаю I (архитектор М. Д. Быковский и скульптор А. Кампиони) в память о правлении Николая I, который был личным другом владельца усадьбы и, в 1835 посетил усадьбу. Это был первый в России памятник Николаю I.",ГАУК г. Москвы «Кузьминки-Люблино»,37.790292,6bc5b8d4-3b09-4041-a3a8-8a6271700a43,"{'type': 'Point', 'coordinates': [37.790292, 55.691977]}"
637,1059370499,662,Бюст академика С.П.Королева,55.823152,['Скульптор А П Файдыш-Крандиевский Архитекторы А Н Колчин М О Барщ'],1967.0,Гранит,"Памятник С. П. Королеву на высоком гранитном постаменте близок по форме к бюсту. Герой, изображенный с портретным сходством, представлен в глубокой задумчивости – он склонил голову и обхватил подбородок пальцами левой руки. Памятная надпись на постаменте выполнена прорезными буквами «Конструктор первых ракетно-космических систем академик Сергей Павлович Королев».",ГБУК г. Москвы «ММК» «Мемориальный дом-музей С.П.Королева»,37.631404,d40db3df-f7bf-44b4-9ca2-44a2a6a9d20c,"{'type': 'Point', 'coordinates': [37.631404, 55.823152]}"
638,1059370697,663,Герма женская,55.825312,['Неизвестный скульптор Италия'],,Мрамор,"Торс обрезан до талии и верхней части рук. Голова на 3-4 вправо. Пышные волнистые волосы разделены пробором, на затылке собраны в узел. Хитон, сколот на правом плече и правой руке тремя фибулами. Постамент - высокий, прямоугольный, суживающийся к низу, на передней плоскости профилированная филенка.",ГБУК г. Москвы «Музей-усадьба Останкино» Партер парка,37.614155,873e87e7-58ab-47eb-8aeb-c723f69a7653,"{'type': 'Point', 'coordinates': [37.614155, 55.825312]}"
